
N is 16384: 

Miss : 15966, took time 82999
Miss : 15970, took time 93754
Miss : 16027, took time 74354
Miss : 16084, took time 81211
Miss : 16206, took time 87000
Miss : 16261, took time 99706
Miss : 16301, took time 646981
Miss : 16317, took time 336647
Miss : 16336, took time 301989
Miss : 16345, took time 6985114

The average miss size is 82

N is 16384: 

Miss : 52, took time 90188
Miss : 99, took time 235451
Miss : 110, took time 79912
Miss : 246, took time 77416
Miss : 297, took time 363426
Miss : 318, took time 84201
Miss : 333, took time 266265
Miss : 360, took time 76771
Miss : 462, took time 312239
Miss : 464, took time 255711
Miss : 493, took time 87896
Miss : 598, took time 80955
Miss : 662, took time 79051
Miss : 663, took time 191086
Miss : 786, took time 79014
Miss : 787, took time 96373
Miss : 816, took time 1178557
Miss : 951, took time 75825
Miss : 994, took time 76141
Miss : 1027, took time 93093
Miss : 1124, took time 257704
Miss : 1154, took time 84654
Miss : 1171, took time 78173
Miss : 1291, took time 1067346
Miss : 1310, took time 258525
Miss : 1470, took time 81756
Miss : 1534, took time 107251
Miss : 1556, took time 79980
Miss : 1592, took time 330500
Miss : 1633, took time 79988
Miss : 1707, took time 275671
Miss : 1727, took time 107134
Miss : 1768, took time 91633
Miss : 1814, took time 273494
Miss : 1836, took time 80586
Miss : 1993, took time 304753
Miss : 1998, took time 258892
Miss : 2031, took time 256076
Miss : 2064, took time 83952
Miss : 2079, took time 89513
Miss : 2234, took time 257923
Miss : 2257, took time 77096
Miss : 2337, took time 76538
Miss : 2406, took time 239720
Miss : 2499, took time 76928
Miss : 2522, took time 364341
Miss : 2627, took time 254691
Miss : 2691, took time 929653
Miss : 2700, took time 84918
Miss : 2727, took time 1245018
Miss : 2740, took time 107720
Miss : 2785, took time 76611
Miss : 2827, took time 392282
Miss : 2837, took time 77862
Miss : 2932, took time 77522
Miss : 3080, took time 275236
Miss : 3088, took time 94261
Miss : 3092, took time 76677
Miss : 3241, took time 103990
Miss : 3257, took time 78757
Miss : 3386, took time 260496
Miss : 3454, took time 294460
Miss : 3550, took time 466233
Miss : 3554, took time 84982
Miss : 3583, took time 258147
Miss : 3612, took time 255896
Miss : 3627, took time 299566
Miss : 3656, took time 79382
Miss : 3659, took time 370617
Miss : 3732, took time 78569
Miss : 3820, took time 310615
