N is 16384: 

Miss : 4184, took time 69139
Miss : 4300, took time 235727
Miss : 4364, took time 74115
Miss : 4465, took time 95484
Miss : 4702, took time 70540
Miss : 4729, took time 69165
Miss : 4982, took time 72562
Miss : 5012, took time 148324
Miss : 5340, took time 91203
Miss : 5400, took time 79152
Miss : 5428, took time 81099
Miss : 5450, took time 77546
Miss : 5547, took time 69903
Miss : 5605, took time 467498
Miss : 5716, took time 78007
Miss : 5829, took time 73073
Miss : 5879, took time 69318
Miss : 5968, took time 109267
Miss : 5974, took time 73122
Miss : 6156, took time 102618
Miss : 6310, took time 77248
Miss : 6343, took time 70305
Miss : 6412, took time 84348
Miss : 6533, took time 69539
Miss : 6734, took time 75666
Miss : 6901, took time 80280
Miss : 6944, took time 481039
Miss : 6966, took time 74279
Miss : 7027, took time 70547
Miss : 7123, took time 73457
Miss : 7308, took time 104652
Miss : 7382, took time 70547
Miss : 7549, took time 72398
Miss : 7587, took time 71481
Miss : 7594, took time 72814
Miss : 7697, took time 97648
Miss : 7724, took time 68908
Miss : 7776, took time 68847
Miss : 7779, took time 70125
Miss : 7797, took time 72499
Miss : 7831, took time 70611
Miss : 7892, took time 79386
Miss : 7948, took time 104009
Miss : 7998, took time 75054
Miss : 8097, took time 104242
Miss : 8124, took time 94878
Miss : 8190, took time 70757
Miss : 8322, took time 70244
Miss : 8355, took time 121298
Miss : 8414, took time 75211
Miss : 8438, took time 72813
Miss : 8459, took time 69297
Miss : 8499, took time 111824
Miss : 8547, took time 72710
Miss : 8553, took time 74138
Miss : 8573, took time 74101
Miss : 8576, took time 75158
Miss : 8587, took time 79641
Miss : 8753, took time 73945
Miss : 8849, took time 83020
Miss : 8863, took time 74805
Miss : 8911, took time 74512
Miss : 9038, took time 103865
Miss : 9426, took time 70145
Miss : 9440, took time 73748
Miss : 9475, took time 802610
Miss : 9529, took time 83532
Miss : 9570, took time 81790
Miss : 9618, took time 75509
Miss : 9726, took time 73324
Miss : 9833, took time 85449
Miss : 9836, took time 80774
Miss : 9865, took time 78798
Miss : 10067, took time 93254
Miss : 10101, took time 74314
Miss : 10108, took time 71635
Miss : 10225, took time 90573
Miss : 10239, took time 91514
Miss : 10316, took time 72139
Miss : 10365, took time 70457
Miss : 10408, took time 80984
Miss : 10621, took time 76701
Miss : 10866, took time 81847
Miss : 10867, took time 72031
Miss : 10874, took time 77173
Miss : 10878, took time 104285
Miss : 10887, took time 71329
Miss : 10917, took time 69711
Miss : 10943, took time 73098
Miss : 10959, took time 84785
Miss : 11284, took time 123611
Miss : 11299, took time 272590
Miss : 11333, took time 82691
Miss : 11351, took time 102021
Miss : 11379, took time 91025
Miss : 11503, took time 68843
Miss : 11562, took time 98790
Miss : 11659, took time 71179
Miss : 11676, took time 69848
Miss : 11703, took time 77323
Miss : 11811, took time 73194
Miss : 12139, took time 77007
Miss : 12160, took time 409359
Miss : 12320, took time 129344
Miss : 12338, took time 78347
Miss : 12469, took time 161313
Miss : 12519, took time 91836
Miss : 12661, took time 69867
Miss : 12674, took time 70830
Miss : 12703, took time 100894
Miss : 12776, took time 73344
Miss : 12897, took time 73197
Miss : 13008, took time 68681
Miss : 13069, took time 106986
Miss : 13247, took time 71394
Miss : 13312, took time 75825
Miss : 13370, took time 864241
Miss : 13462, took time 87586
Miss : 13530, took time 71055
Miss : 13543, took time 105130
Miss : 13688, took time 77230
Miss : 13699, took time 91916
Miss : 13781, took time 78234
Miss : 13924, took time 73539
Miss : 13974, took time 70293
Miss : 14258, took time 72834
Miss : 14363, took time 80310
Miss : 14463, took time 75679
Miss : 14468, took time 75732
Miss : 14591, took time 73051
Miss : 14615, took time 76043
Miss : 14734, took time 113097
Miss : 14850, took time 240000
Miss : 15070, took time 104820
Miss : 15098, took time 75205
Miss : 15139, took time 86331
Miss : 15194, took time 75724
Miss : 15272, took time 103756
Miss : 15331, took time 71990
Miss : 15345, took time 100476
Miss : 15408, took time 113857
Miss : 15420, took time 78840
Miss : 15463, took time 107436
Miss : 15473, took time 72173
Miss : 15474, took time 79804
Miss : 15570, took time 115321
Miss : 15688, took time 104309
Miss : 15839, took time 72611
Miss : 15853, took time 70994
Miss : 15957, took time 77023
Miss : 16004, took time 78779
Miss : 16011, took time 73594
Miss : 16040, took time 69101
Miss : 16076, took time 79572
Miss : 16161, took time 71226
Miss : 16226, took time 92193
Miss : 16300, took time 73797
Miss : 16343, took time 71309
Miss : 16359, took time 68666

The average miss size is 81

N is 16384: 

Miss : 99, took time 78001
Miss : 326, took time 73966
Miss : 371, took time 84283
Miss : 434, took time 74892
Miss : 716, took time 84087
Miss : 863, took time 70145
Miss : 948, took time 73935
Miss : 1068, took time 73649
Miss : 1105, took time 72388
Miss : 1180, took time 80220
Miss : 1241, took time 88441
Miss : 1304, took time 85408
Miss : 1307, took time 78424
Miss : 1346, took time 86517
Miss : 1443, took time 69696
Miss : 1737, took time 70620
Miss : 1749, took time 81910
Miss : 1816, took time 71315
Miss : 1848, took time 69930
Miss : 1853, took time 124583
Miss : 1974, took time 72664
Miss : 2001, took time 76458
Miss : 2012, took time 69206
Miss : 2121, took time 72071
Miss : 2192, took time 74119
Miss : 2302, took time 82198
Miss : 2564, took time 69926
Miss : 2581, took time 93306
Miss : 2590, took time 71152
Miss : 2749, took time 78984
Miss : 2837, took time 71586
Miss : 2841, took time 80872
Miss : 3126, took time 74704
Miss : 3139, took time 72047
Miss : 3277, took time 92290
Miss : 3354, took time 69094
Miss : 3483, took time 87807
Miss : 3518, took time 72281
Miss : 3539, took time 97830
Miss : 3667, took time 77632
Miss : 3678, took time 75620
Miss : 3822, took time 83242
Miss : 3968, took time 78980
Miss : 4099, took time 76344
Miss : 4220, took time 72274
Miss : 4276, took time 75713
Miss : 4359, took time 98417
Miss : 4725, took time 70323
Miss : 4856, took time 77970
Miss : 4958, took time 70208
Miss : 5032, took time 70974
Miss : 5099, took time 71060
Miss : 5220, took time 71591
Miss : 5269, took time 77593
Miss : 5393, took time 72798
Miss : 5756, took time 71038
Miss : 5873, took time 70421
Miss : 5968, took time 76064
Miss : 6050, took time 76553
Miss : 6223, took time 374642
Miss : 6316, took time 85848
Miss : 6340, took time 97516
Miss : 6346, took time 87196
Miss : 6526, took time 87185
Miss : 6584, took time 71437
Miss : 6589, took time 2015856
Miss : 6610, took time 68882
Miss : 6673, took time 78786
Miss : 6700, took time 69090
Miss : 6961, took time 73223
Miss : 7082, took time 73556
Miss : 7145, took time 143560
Miss : 7276, took time 80211
Miss : 7294, took time 76617
Miss : 7552, took time 70867
Miss : 7563, took time 71438
Miss : 7751, took time 1409911
Miss : 7902, took time 75257
Miss : 8103, took time 78315
Miss : 8287, took time 70533
Miss : 8353, took time 70747
Miss : 8381, took time 77936
Miss : 8515, took time 77334
Miss : 8532, took time 80586
Miss : 8592, took time 100876
Miss : 8657, took time 68630
Miss : 8771, took time 71647
Miss : 8849, took time 74805
Miss : 9031, took time 165494
Miss : 9082, took time 75766
Miss : 9127, took time 69393
Miss : 9151, took time 69840
Miss : 9161, took time 72297
Miss : 9272, took time 73318
Miss : 9470, took time 78426
Miss : 9987, took time 68635
Miss : 10085, took time 70372
Miss : 10312, took time 75983
Miss : 10493, took time 74292
Miss : 10507, took time 69993
Miss : 10545, took time 86959
Miss : 10712, took time 73450
Miss : 10762, took time 71832
Miss : 10798, took time 71376
Miss : 10848, took time 139243
Miss : 11087, took time 85339
Miss : 11120, took time 71518
Miss : 11177, took time 69956
Miss : 11192, took time 76751
Miss : 11230, took time 70415
Miss : 11688, took time 73914
Miss : 11816, took time 76492
Miss : 11839, took time 70025
Miss : 11874, took time 69884
Miss : 11889, took time 70309
Miss : 11904, took time 126983
Miss : 12030, took time 100848
Miss : 12092, took time 132451
Miss : 12097, took time 68898
Miss : 12137, took time 88126
Miss : 12250, took time 82346
Miss : 12430, took time 88222
Miss : 12608, took time 70979
Miss : 12656, took time 77752
Miss : 12758, took time 109800
Miss : 12851, took time 69472
Miss : 12966, took time 102681
Miss : 13021, took time 177209
Miss : 13260, took time 87132
Miss : 13290, took time 70098
Miss : 13354, took time 75102
Miss : 13446, took time 70722
Miss : 13619, took time 72473
Miss : 13641, took time 80699
Miss : 14060, took time 86385
Miss : 14220, took time 75089
Miss : 14342, took time 76759
Miss : 14403, took time 78481
Miss : 14691, took time 148541
Miss : 14769, took time 84479
Miss : 14815, took time 68634
Miss : 14873, took time 77510
Miss : 15022, took time 72550
Miss : 15061, took time 77676
Miss : 15341, took time 69252
Miss : 15405, took time 70960
Miss : 15454, took time 82988
Miss : 15464, took time 71615
Miss : 15472, took time 70153
Miss : 15642, took time 388918
Miss : 15643, took time 71371
Miss : 15787, took time 72513
Miss : 15833, took time 91958
Miss : 15918, took time 84159
Miss : 16109, took time 74913
Miss : 16239, took time 68963

The average miss size is 104

N is 16384: 

Miss : 39, took time 78258
Miss : 134, took time 72438
Miss : 284, took time 320873
Miss : 285, took time 82978
Miss : 292, took time 80121
Miss : 303, took time 87503
Miss : 307, took time 70244
Miss : 347, took time 72844
Miss : 537, took time 77579
Miss : 681, took time 73595
Miss : 720, took time 70814
Miss : 737, took time 74358
Miss : 744, took time 5314105
Miss : 771, took time 204797
Miss : 819, took time 313804
Miss : 827, took time 72888
Miss : 859, took time 84361
Miss : 904, took time 412085
Miss : 933, took time 159371
Miss : 968, took time 375986
Miss : 985, took time 3958996
Miss : 1092, took time 80539
Miss : 1122, took time 75883
Miss : 1131, took time 102185
Miss : 1165, took time 85137
Miss : 1174, took time 79674
Miss : 1222, took time 79253
Miss : 1232, took time 79335
Miss : 1260, took time 80182
Miss : 1327, took time 84025
Miss : 1386, took time 120734
Miss : 1495, took time 75364
Miss : 1525, took time 2376096
Miss : 1569, took time 143336
Miss : 1606, took time 126602
Miss : 1691, took time 74622
Miss : 1741, took time 78171
Miss : 1748, took time 70208
Miss : 1759, took time 444706
Miss : 1861, took time 81515
Miss : 1925, took time 95464
Miss : 1996, took time 415194
Miss : 2061, took time 495394
Miss : 2161, took time 74798
Miss : 2220, took time 107235
Miss : 2229, took time 121458
Miss : 2250, took time 78167
Miss : 2286, took time 893085
Miss : 2371, took time 84445
Miss : 2396, took time 92595
Miss : 2481, took time 119803
Miss : 2500, took time 75601
Miss : 2613, took time 91579
Miss : 2718, took time 70013
Miss : 2722, took time 76135
Miss : 2762, took time 178024
Miss : 2870, took time 73531
Miss : 2882, took time 72992
Miss : 2925, took time 404704
Miss : 2939, took time 153310
Miss : 2972, took time 134380
Miss : 2984, took time 85974
Miss : 3049, took time 95125
Miss : 3082, took time 1405844
Miss : 3128, took time 3412839
Miss : 3214, took time 72319
Miss : 3251, took time 155232
Miss : 3368, took time 71629
Miss : 3396, took time 98995
Miss : 3448, took time 223759
Miss : 3451, took time 283057
Miss : 3529, took time 76970
Miss : 3543, took time 73388
Miss : 3545, took time 73901
Miss : 3547, took time 72442
Miss : 3549, took time 78413
Miss : 3581, took time 70631
Miss : 3584, took time 73337
Miss : 3594, took time 109563
Miss : 3630, took time 668073
Miss : 3657, took time 99799
Miss : 3685, took time 390038
Miss : 3760, took time 71671
Miss : 3861, took time 142106
Miss : 3958, took time 297647
Miss : 4011, took time 97204
Miss : 4111, took time 73406
Miss : 4145, took time 74835
Miss : 4192, took time 84455
Miss : 4276, took time 86373
Miss : 4326, took time 77418
Miss : 4370, took time 250759
Miss : 4379, took time 70276
Miss : 4392, took time 71149
Miss : 4406, took time 95145
Miss : 4462, took time 86624
Miss : 4474, took time 1344247
Miss : 4541, took time 787445
Miss : 4545, took time 122817
Miss : 4607, took time 70058
Miss : 4628, took time 194570
Miss : 4698, took time 74987
Miss : 4892, took time 84043
Miss : 5059, took time 69686
Miss : 5091, took time 347024
Miss : 5104, took time 108075
Miss : 5139, took time 82505
Miss : 5190, took time 148888
Miss : 5202, took time 75200
Miss : 5239, took time 71948
Miss : 5246, took time 78668
Miss : 5336, took time 76127
Miss : 5338, took time 76936
Miss : 5358, took time 123212
Miss : 5367, took time 78095
Miss : 5457, took time 79221
Miss : 5521, took time 69831
Miss : 5663, took time 142270
Miss : 5719, took time 93290
Miss : 5736, took time 3068010
Miss : 5819, took time 71963
Miss : 5852, took time 81993
Miss : 5861, took time 498755
Miss : 5893, took time 74391
Miss : 5903, took time 77015
Miss : 6089, took time 180253
Miss : 6178, took time 357564
Miss : 6416, took time 81671
Miss : 6452, took time 129399
Miss : 6475, took time 75930
Miss : 6486, took time 85613
Miss : 6512, took time 79331
Miss : 6598, took time 74833
Miss : 6624, took time 73444
Miss : 6687, took time 93959
Miss : 6728, took time 70216
Miss : 6743, took time 391625
Miss : 6795, took time 737770
Miss : 6798, took time 85789
Miss : 6805, took time 73229
Miss : 6823, took time 1312602
Miss : 6846, took time 112613
Miss : 6944, took time 76125
Miss : 6962, took time 72512
Miss : 7121, took time 76936
Miss : 7219, took time 137059
Miss : 7228, took time 128232
Miss : 7233, took time 75371
Miss : 7262, took time 72682
Miss : 7287, took time 79946
Miss : 7341, took time 70661
Miss : 7494, took time 79207
Miss : 7496, took time 113128
Miss : 7523, took time 1046725
Miss : 7538, took time 95530
Miss : 7582, took time 74629
Miss : 7644, took time 128614
Miss : 7658, took time 119773
Miss : 7752, took time 72793
Miss : 7766, took time 70686
Miss : 7820, took time 406344
Miss : 7934, took time 69725
Miss : 8043, took time 74807
Miss : 8190, took time 360993
Miss : 8194, took time 75269
Miss : 8216, took time 117047
Miss : 8235, took time 74310
Miss : 8292, took time 72690
Miss : 8358, took time 249782
Miss : 8364, took time 84104
Miss : 8378, took time 74598
Miss : 8406, took time 79900
